UserId,MovieId,Pred_rating
1,1172,4.6
1,1405,2.6504843368268736
1,2193,2.6965863066056235
1,2968,2.896279610054307
2,52,3.8474397896585195
2,144,3.1983919724836705
2,248,3.0021728877714633
2,314,4.301521397552732
2,319,3.9489995543605105
2,370,3.2985906762858064
2,371,3.502632563820883
2,372,3.347269652048294
2,382,3.3503981733865857
2,405,2.7029546230871198
2,485,3.149359758567367
2,537,2.9527753411132647
2,550,3.292369378033809
2,616,3.3439414814521964
2,661,3.7502795975982552
2,720,4.59851154884689
3,377,3.299113318226791
3,592,3.15171475881903
3,595,3.202110207279384
3,736,3.2
3,1197,4.300962631905061
3,1721,4.498374426936189
3,2716,3.798133449558591
3,5349,3.549931975604157
3,8636,3.848793135893927
3,44191,4.050827631210687
3,84236,4.0
4,185,2.9003591441578056
4,356,4.35001327308796
4,357,4.0506324825582505
4,364,4.349995572149058
4,410,3.5504255841600885
4,435,2.5473483184619456
4,440,3.9503617036584484
4,442,3.250781780358461
4,588,4.500335134018322
4,589,4.450060528293949
4,594,4.250854500286485
4,596,3.7990551701115316
4,610,3.3502500822858545
4,616,3.702034552527146
4,919,4.499399083574766
4,1022,3.8010367642752882
4,1028,4.299029327999187
4,1032,4.1510458124995635
4,1033,3.651099110397848
4,1282,4.350654490198408
4,1334,3.1978766399660916
4,1372,2.9013673393756827
4,1580,4.2501566242886515
4,1858,3.097115027992178
4,1967,3.952185737211864
4,2033,2.9502900343699148
4,2078,4.201206858750947
4,2081,3.9003522028951525
4,2085,3.8512044432246197
4,2087,3.9511837569566195
4,2094,3.3000246208252304
4,2096,4.150215950112149
4,2102,4.16522699610192
4,2124,3.5501975352971127
4,2141,3.3970186612219098
4,2454,3.800624314745646
4,3034,3.699503662277754
4,3108,3.702051255797969
4,3255,3.801594976368789
4,3263,3.599538735258015
4,4006,3.6906746784444553
5,3,3.8498534053848457
5,39,3.401405170230334
5,104,3.849762950800596
5,788,3.299409006423926
5,1247,4.251407948923576
5,1485,3.947731720494668
5,1544,3.199018329612354
5,1777,3.8511843069247553
5,1997,4.053983168486582
5,2770,3.5502555566805167
5,4018,3.7007977129834813
5,4025,3.551523163468511
5,4447,3.702249494608261
5,4718,3.2007939922394355
5,5266,3.552881167070855
5,5995,4.1521548805848605
5,6373,3.901156574245113
5,8376,3.601582532656568
5,30749,4.24752866584038
5,33679,3.5016977604892157
6,173,2.8
6,1687,2.8050143426788705
6,2019,4.751043098671189
6,2072,2.697629515887547
6,2528,3.5491494316136207
6,2723,3.498644654160952
6,3300,3.404714335869291
6,4641,3.1968682608942984
6,4975,2.516882569070135
7,260,4.549810832718087
7,316,3.0994946723889063
7,377,3.4503917430899302
7,380,3.9021364114005577
7,480,3.9491549153584535
7,589,3.749320752241832
7,1036,3.6003773688932483
7,1129,3.352308271318366
7,1198,4.249641656079774
7,1240,4.350558532954822
7,1275,3.9495682592492107
7,1371,3.753895065170453
7,1372,2.896489045498501
7,1373,2.4988298020033297
7,1374,4.099385590068018
7,1375,3.34572216164545
7,1376,3.7473590922411084
7,1408,3.6030013889309043
8,32,4.700246959459188
8,110,4.599911840930812
8,1219,4.750502973402706
8,1225,4.450594454236936
8,1258,4.249025710205674
8,1358,3.799381376931795
8,1704,4.400122208588406
8,1961,4.6001679871231005
8,2028,4.448812562884392
8,2329,4.300110479223585
8,2791,4.247270784933127
8,2804,4.500596063228225
8,2918,4.3996577852324705
8,3996,4.550652160547605
8,5650,3.5576972381990863
8,8873,4.100246436020285
8,8874,3.8498557351852036
8,33166,4.050007345813337
8,40583,3.752752803043164
